"Station.No","Location","Date","Hour","API","Pollutant"
19,"Kg. Air Putih, Taiping",2013-08-04,14,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,15,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,16,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,17,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,18,60,"c"
19,"Kg. Air Putih, Taiping",2013-08-04,19,57,"c"
19,"Kg. Air Putih, Taiping",2013-08-04,20,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,21,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,22,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,23,55,"*"
19,"Kg. Air Putih, Taiping",2013-08-04,24,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,1,54,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,2,53,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,3,52,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,4,51,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,5,50,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,6,49,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,7,48,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,8,47,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,9,47,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,10,47,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,11,43,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,12,43,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,13,41,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,14,42,"c"
19,"Kg. Air Putih, Taiping",2013-08-05,15,46,"c"
19,"Kg. Air Putih, Taiping",2013-08-05,16,48,"c"
19,"Kg. Air Putih, Taiping",2013-08-05,17,48,"c"
19,"Kg. Air Putih, Taiping",2013-08-05,18,40,"c"
19,"Kg. Air Putih, Taiping",2013-08-05,19,38,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,20,37,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,21,35,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,22,34,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,23,33,"*"
19,"Kg. Air Putih, Taiping",2013-08-05,24,32,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,1,32,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,2,32,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,3,32,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,4,32,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,5,32,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,6,32,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,7,31,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,8,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,9,30,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,10,29,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,11,28,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,12,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,13,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,14,27,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,15,26,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,16,25,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,17,24,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,18,24,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,19,23,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,20,23,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,21,23,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,22,22,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,23,21,"*"
19,"Kg. Air Putih, Taiping",2013-08-06,24,19,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,1,18,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,2,17,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,3,16,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,4,15,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,5,14,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,6,15,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,7,15,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,8,15,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,9,14,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,10,15,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,11,15,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,12,15,"*"
19,"Kg. Air Putih, Taiping",2013-08-07,13,19,"c"
19,"Kg. Air Putih, Taiping",2013-08-07,14,22,"c"
